"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aegis","RED Canids","Jungle",18,"67%","56%",46,64,163,3.3,"73.6%","16.2%","29.8%","50%",69,27,0.9,5.8,"18.1%",325,"13.7%","14.1%",209,"17.9%",1,0.33,0.24,0.3
"Aithusa","INTZ","Middle",18,"17%","33%",54,64,99,2.4,"78.5%","27.7%","20.1%","22%",-241,-104,-6.9,7.6,"25.1%",654,"29.3%","30.2%",241,"23.3%",0,0.49,0.24,0.25
"Ayu","FURIA","ADC",18,"22%","33%",65,41,77,3.5,"68.9%","31.6%","14.1%","17%",119,180,5.8,9,"29.9%",492,"24.5%","25.5%",280,"25.8%",0,0.42,0.19,0.28
"Brance","RED Canids","ADC",18,"67%","44%",111,35,103,6.1,"75.4%","39.1%","16.3%","33%",236,157,4.9,9.1,"30.8%",767,"32.0%","34.2%",328,"28.0%",0,0.52,0.15,0.46
"CarioK","paiN Gaming","Jungle",18,"61%","39%",34,53,172,3.9,"73.8%","12.2%","23.3%","56%",65,68,-0.7,5.3,"14.7%",291,"12.3%","12.2%",194,"16.3%",3,0.45,0.32,0.4
"Cavalo","Liberty","Support",18,"50%","56%",17,71,130,2.1,"70.7%","8.2%","26.0%","11%",-114,-168,5,2,"5.2%",172,"8.4%","7.9%",131,"11.5%",0,1.63,0.44,0.56
"Celo","Los Grandes","ADC",18,"50%","39%",62,36,107,4.7,"70.4%","25.8%","16.7%","39%",25,-219,-6.9,8.3,"27.7%",487,"23.6%","24.6%",272,"24.0%",0,0.55,0.16,0.39
"Ceos","KaBuM! Esports","Support",18,"56%","33%",13,47,159,3.7,"74.5%","5.6%","24.2%","28%",-101,125,-0.3,1.5,"3.8%",165,"7.5%","6.5%",119,"10.4%",0,1.87,0.48,0.49
"Croc","LOUD","Jungle",18,"67%","61%",36,63,166,3.2,"72.9%","13.0%","25.4%","33%",46,24,-0.1,5.3,"15.1%",284,"12.6%","12.3%",195,"16.4%",5,0.36,0.27,0.34
"Damage","INTZ","Support",18,"17%","50%",14,70,141,2.2,"79.5%","7.2%","21.9%","33%",-50,-259,-5.2,1.3,"3.1%",176,"8.6%","7.9%",108,"10.4%",0,1.81,0.48,0.36
"Disamis","Vivo Keyd Stars","Jungle",18,"72%","28%",33,43,186,5.1,"72.5%","10.9%","20.9%","33%",-89,-9,2.6,5.6,"15.4%",296,"12.3%","12.2%",204,"16.1%",1,0.29,0.22,0.38
"Drakehero","Liberty","Jungle",18,"50%","56%",26,48,133,3.3,"76.4%","12.5%","17.6%","11%",87,251,6.7,6,"17.5%",268,"13.1%","14.0%",203,"18.0%",1,0.36,0.21,0.46
"dyNquedo","paiN Gaming","Middle",18,"61%","78%",73,37,136,5.6,"74.9%","26.2%","16.3%","33%",-10,55,2.4,8.5,"24.2%",655,"27.5%","28.4%",283,"23.6%",1,0.45,0.32,0.38
"Envy","Los Grandes","Middle",18,"50%","44%",61,44,115,4,"73.3%","25.4%","20.4%","17%",123,106,1.9,8.9,"27.1%",622,"30.6%","31.3%",283,"24.8%",0,0.51,0.22,0.24
"fNb","RED Canids","Top",18,"67%","39%",59,36,115,4.8,"61.3%","20.8%","16.7%","22%",20,79,-3.4,8,"25.0%",527,"21.9%","20.3%",269,"22.7%",0,0.42,0.19,0.22
"Fuuu","Fluxo","Middle",18,"39%","44%",68,40,82,3.8,"69.4%","31.5%","15.4%","17%",81,57,1,8.4,"26.4%",608,"28.9%","29.3%",274,"24.7%",1,0.46,0.23,0.18
"Grevthar","RED Canids","Middle",18,"67%","61%",57,41,147,5,"71.8%","20.1%","19.1%","22%",-166,-274,-8.7,7.7,"23.2%",553,"22.7%","22.9%",247,"20.9%",0,0.49,0.22,0.23
"GUIGO","Vivo Keyd Stars","Top",18,"72%","61%",102,42,91,4.6,"63.9%","33.8%","20.4%","17%",25,1,2.7,8.7,"27.7%",657,"27.1%","25.6%",317,"25.1%",0,0.37,0.16,0.21
